mode,threads,mem_node,cpu_node,workload,size_mb,event,count
mode,threads,mem_node,cpu_node,workload,p50,p90,p99,p99_9,p999
local,1,0,0,ptr_chase,-1.77746e+18,-1.77746e+18,-1.77746e+18,-1.77746e+18,-1.77746e+18
mode,threads,mem_node,cpu_node,workload,p50,p90,p99,p99_9,p999
local,1,0,0,ptr_chase,-1.77746e+18,-1.77746e+18,-1.77746e+18,-1.77746e+18,-1.77746e+18
mode,threads,mem_node,cpu_node,workload,p50,p90,p99,p99_9,p999
local,1,0,0,ptr_chase,-1.77746e+18,-1.77746e+18,-1.77746e+18,-1.77746e+18,-1.77746e+18
mode,threads,mem_node,cpu_node,workload,p50,p90,p99,p99_9,p999
local,4,0,0,ptr_chase,-1.77746e+18,-1.77746e+18,-1.77746e+18,-1.77746e+18,-1.77746e+18
mode,threads,mem_node,cpu_node,workload,p50,p90,p99,p99_9,p999
local,4,0,0,ptr_chase,-1.77746e+18,-1.77746e+18,-1.77746e+18,-1.77746e+18,-1.77746e+18
mode,threads,mem_node,cpu_node,workload,p50,p90,p99,p99_9,p999
local,4,0,0,ptr_chase,-1.77746e+18,-1.77746e+18,-1.77746e+18,-1.77746e+18,-1.77746e+18
mode,threads,mem_node,cpu_node,workload,p50,p90,p99,p99_9,p999
local,1,0,0,sequential,-2.11796e+08,-3.76108e+08,-4.10098e+08,-4.13476e+08,-4.13811e+08
mode,threads,mem_node,cpu_node,workload,p50,p90,p99,p99_9,p999
local,1,0,0,sequential,-1.93329e+08,-3.69235e+08,-4.1007e+08,-4.13461e+08,-4.1381e+08
mode,threads,mem_node,cpu_node,workload,p50,p90,p99,p99_9,p999
local,1,0,0,sequential,-1.91001e+08,-3.70829e+08,-4.0623e+08,-4.13086e+08,-4.13771e+08
mode,threads,mem_node,cpu_node,workload,p50,p90,p99,p99_9,p999
local,4,0,0,sequential,-1.91631e+08,-3.68635e+08,-4.09324e+08,-4.13395e+08,-4.13802e+08
mode,threads,mem_node,cpu_node,workload,p50,p90,p99,p99_9,p999
local,4,0,0,sequential,-1.9542e+08,-3.67652e+08,-4.09496e+08,-4.13413e+08,-4.13805e+08
mode,threads,mem_node,cpu_node,workload,p50,p90,p99,p99_9,p999
local,4,0,0,sequential,-2.10867e+08,-3.80713e+08,-4.10282e+08,-4.13492e+08,-4.13812e+08
mode,threads,mem_node,cpu_node,workload,p50,p90,p99,p99_9,p999
local,1,0,0,random,-2.18625e+08,-3.71103e+08,-4.02843e+08,-4.13054e+08,-4.13768e+08
mode,threads,mem_node,cpu_node,workload,p50,p90,p99,p99_9,p999
local,1,0,0,random,-2.24463e+08,-3.75623e+08,-4.1004e+08,-4.13469e+08,-4.1381e+08
mode,threads,mem_node,cpu_node,workload,p50,p90,p99,p99_9,p999
local,1,0,0,random,-2.19164e+08,-3.75841e+08,-4.10038e+08,-4.13467e+08,-4.1381e+08
mode,threads,mem_node,cpu_node,workload,p50,p90,p99,p99_9,p999
local,4,0,0,random,-2.30181e+08,-3.7042e+08,-4.08609e+08,-4.13325e+08,-4.13796e+08
mode,threads,mem_node,cpu_node,workload,p50,p90,p99,p99_9,p999
local,4,0,0,random,-2.25225e+08,-3.66669e+08,-4.08594e+08,-4.13321e+08,-4.13795e+08
mode,threads,mem_node,cpu_node,workload,p50,p90,p99,p99_9,p999
local,4,0,0,random,-2.41915e+08,-3.78898e+08,-4.09902e+08,-4.13454e+08,-4.13809e+08
mode,threads,mem_node,cpu_node,workload,p50,p90,p99,p99_9,p999
remote,1,1,0,ptr_chase,-1.77746e+18,-1.77746e+18,-1.77746e+18,-1.77746e+18,-1.77746e+18
mode,threads,mem_node,cpu_node,workload,p50,p90,p99,p99_9,p999
remote,1,1,0,ptr_chase,-1.77746e+18,-1.77746e+18,-1.77746e+18,-1.77746e+18,-1.77746e+18
mode,threads,mem_node,cpu_node,workload,p50,p90,p99,p99_9,p999
remote,1,1,0,ptr_chase,-1.77746e+18,-1.77746e+18,-1.77746e+18,-1.77746e+18,-1.77746e+18
mode,threads,mem_node,cpu_node,workload,p50,p90,p99,p99_9,p999
remote,4,1,0,ptr_chase,-1.77746e+18,-1.77746e+18,-1.77746e+18,-1.77746e+18,-1.77746e+18
mode,threads,mem_node,cpu_node,workload,p50,p90,p99,p99_9,p999
remote,4,1,0,ptr_chase,-1.77746e+18,-1.77746e+18,-1.77746e+18,-1.77746e+18,-1.77746e+18
mode,threads,mem_node,cpu_node,workload,p50,p90,p99,p99_9,p999
remote,4,1,0,ptr_chase,-1.77746e+18,-1.77746e+18,-1.77746e+18,-1.77746e+18,-1.77746e+18
mode,threads,mem_node,cpu_node,workload,p50,p90,p99,p99_9,p999
remote,1,1,0,sequential,-2.07305e+08,-3.77262e+08,-4.10197e+08,-4.1348e+08,-4.13811e+08
mode,threads,mem_node,cpu_node,workload,p50,p90,p99,p99_9,p999
remote,1,1,0,sequential,-2.19867e+08,-3.76966e+08,-4.10168e+08,-4.13479e+08,-4.13811e+08
mode,threads,mem_node,cpu_node,workload,p50,p90,p99,p99_9,p999
remote,1,1,0,sequential,-1.93181e+08,-3.69149e+08,-4.10188e+08,-4.13482e+08,-4.13811e+08
mode,threads,mem_node,cpu_node,workload,p50,p90,p99,p99_9,p999
remote,4,1,0,sequential,-2.14734e+08,-3.73535e+08,-4.09363e+08,-4.13399e+08,-4.13803e+08
mode,threads,mem_node,cpu_node,workload,p50,p90,p99,p99_9,p999
remote,4,1,0,sequential,-2.19873e+08,-3.77155e+08,-4.10322e+08,-4.13494e+08,-4.13813e+08
mode,threads,mem_node,cpu_node,workload,p50,p90,p99,p99_9,p999
remote,4,1,0,sequential,-1.86781e+08,-3.69452e+08,-4.09409e+08,-4.13405e+08,-4.13804e+08
mode,threads,mem_node,cpu_node,workload,p50,p90,p99,p99_9,p999
remote,1,1,0,random,-1.96623e+08,-3.54993e+08,-4.10073e+08,-4.1347e+08,-4.1381e+08
mode,threads,mem_node,cpu_node,workload,p50,p90,p99,p99_9,p999
remote,1,1,0,random,-2.16043e+08,-3.74373e+08,-4.10053e+08,-4.1347e+08,-4.13811e+08
mode,threads,mem_node,cpu_node,workload,p50,p90,p99,p99_9,p999
remote,1,1,0,random,-1.90396e+08,-3.6525e+08,-4.0627e+08,-4.13091e+08,-4.13772e+08
mode,threads,mem_node,cpu_node,workload,p50,p90,p99,p99_9,p999
remote,4,1,0,random,-2.36209e+08,-3.77627e+08,-4.09603e+08,-4.13318e+08,-4.13796e+08
mode,threads,mem_node,cpu_node,workload,p50,p90,p99,p99_9,p999
remote,4,1,0,random,-1.85365e+08,-3.90046e+08,-4.1108e+08,-4.13577e+08,-4.13821e+08
mode,threads,mem_node,cpu_node,workload,p50,p90,p99,p99_9,p999
remote,4,1,0,random,-2.34492e+08,-3.79873e+08,-4.10338e+08,-4.13497e+08,-4.13814e+08
mode,threads,mem_node,cpu_node,workload,p50,p90,p99,p99_9,p999
interleaved,1,0,0,ptr_chase,-1.77746e+18,-1.77746e+18,-1.77746e+18,-1.77746e+18,-1.77746e+18
mode,threads,mem_node,cpu_node,workload,p50,p90,p99,p99_9,p999
interleaved,1,0,0,ptr_chase,-1.77746e+18,-1.77746e+18,-1.77746e+18,-1.77746e+18,-1.77746e+18
mode,threads,mem_node,cpu_node,workload,p50,p90,p99,p99_9,p999
interleaved,1,0,0,ptr_chase,-1.77746e+18,-1.77746e+18,-1.77746e+18,-1.77746e+18,-1.77746e+18
mode,threads,mem_node,cpu_node,workload,p50,p90,p99,p99_9,p999
interleaved,4,0,0,ptr_chase,-1.77746e+18,-1.77746e+18,-1.77746e+18,-1.77746e+18,-1.77746e+18
mode,threads,mem_node,cpu_node,workload,p50,p90,p99,p99_9,p999
interleaved,4,0,0,ptr_chase,-1.77746e+18,-1.77746e+18,-1.77746e+18,-1.77746e+18,-1.77746e+18
mode,threads,mem_node,cpu_node,workload,p50,p90,p99,p99_9,p999
interleaved,4,0,0,ptr_chase,-1.77746e+18,-1.77746e+18,-1.77746e+18,-1.77746e+18,-1.77746e+18
mode,threads,mem_node,cpu_node,workload,p50,p90,p99,p99_9,p999
interleaved,1,0,0,sequential,-2.00307e+08,-3.56051e+08,-4.10057e+08,-4.13469e+08,-4.1381e+08
mode,threads,mem_node,cpu_node,workload,p50,p90,p99,p99_9,p999
interleaved,1,0,0,sequential,-2.24667e+08,-3.77383e+08,-4.07811e+08,-4.12027e+08,-4.12724e+08
mode,threads,mem_node,cpu_node,workload,p50,p90,p99,p99_9,p999
interleaved,1,0,0,sequential,-2.17099e+08,-3.75712e+08,-4.10039e+08,-4.13464e+08,-4.1381e+08
mode,threads,mem_node,cpu_node,workload,p50,p90,p99,p99_9,p999
interleaved,4,0,0,sequential,-2.08463e+08,-3.6063e+08,-4.08215e+08,-4.13265e+08,-4.13791e+08
mode,threads,mem_node,cpu_node,workload,p50,p90,p99,p99_9,p999
interleaved,4,0,0,sequential,-2.34676e+08,-3.79257e+08,-4.10353e+08,-4.13498e+08,-4.13813e+08
mode,threads,mem_node,cpu_node,workload,p50,p90,p99,p99_9,p999
interleaved,4,0,0,sequential,-2.19614e+08,-3.63064e+08,-4.08607e+08,-4.13323e+08,-4.13796e+08
mode,threads,mem_node,cpu_node,workload,p50,p90,p99,p99_9,p999
interleaved,1,0,0,random,-2.13945e+08,-3.75558e+08,-4.10031e+08,-4.13467e+08,-4.1381e+08
mode,threads,mem_node,cpu_node,workload,p50,p90,p99,p99_9,p999
interleaved,1,0,0,random,-2.19925e+08,-3.79897e+08,-4.1124e+08,-4.13589e+08,-4.13822e+08
mode,threads,mem_node,cpu_node,workload,p50,p90,p99,p99_9,p999
interleaved,1,0,0,random,-1.95195e+08,-3.59918e+08,-4.10055e+08,-4.13474e+08,-4.13811e+08
mode,threads,mem_node,cpu_node,workload,p50,p90,p99,p99_9,p999
interleaved,4,0,0,random,-2.28997e+08,-3.79505e+08,-4.10314e+08,-4.13494e+08,-4.13813e+08
mode,threads,mem_node,cpu_node,workload,p50,p90,p99,p99_9,p999
interleaved,4,0,0,random,-2.34781e+08,-3.75099e+08,-4.08683e+08,-4.1332e+08,-4.13796e+08
mode,threads,mem_node,cpu_node,workload,p50,p90,p99,p99_9,p999
interleaved,4,0,0,random,-2.35975e+08,-3.77052e+08,-4.08841e+08,-4.13327e+08,-4.13796e+08
